name,a,c,sigma,rho,o,tau,jump_intensity,jump_size,strike_price,learning_rate,failure_prob,loss_given_failure,max_capacity
BF-BOF (Baseline),0.0,390.0,0.05,0.0,0.0,40.0,0.0,0.0,0.0,0.01,0.02,200.0,44.0
BF-BOF + CCUS (POSCO),1.6,465.0,0.15,0.3,15.0,25.0,0.03,-0.06,420.0,0.06,0.06,350.0,15.0
Scrap-EAF (Hyundai),1.54,415.0,0.10,0.15,20.0,25.0,0.02,-0.04,380.0,0.05,0.03,180.0,5.0
HyREX H2-DRI (POSCO),1.96,616.0,0.25,0.45,35.0,30.0,0.10,-0.20,500.0,0.18,0.08,500.0,4.0
Hy-Cube H2-DRI (Hyundai),1.94,600.0,0.24,0.45,32.0,30.0,0.09,-0.18,480.0,0.16,0.10,480.0,3.0
NG-DRI-EAF,1.25,455.0,0.12,0.2,18.0,25.0,0.04,-0.08,400.0,0.08,0.04,250.0,8.0
EAF + Green H2 DRI,2.0,680.0,0.28,0.5,40.0,30.0,0.12,-0.25,550.0,0.20,0.12,550.0,6.0
Molten Oxide Electrolysis (MOE),2.15,950.0,0.40,0.25,50.0,35.0,0.18,-0.35,800.0,0.25,0.18,700.0,2.0
FINEX + CCUS,1.5,440.0,0.14,0.3,12.0,25.0,0.03,-0.05,400.0,0.07,0.05,300.0,12.0
